taxon,max,min,range
Aegicetus_gehennae,38.0,33.9,4.1
Balaena_larteti,23.03,2.588,20.442
Hoplocetus_curvidens,5.333,3.6,1.733
Orycterocetus crocodilinus,20.44,7.246,13.194
Sachalinocetus_cholmicus,23,11.6,11.4
Ihlengesi_saldanhae,16,5.3,10.7
Izikoziphius_angustus,16,5.3,10.7
Izikoziphius_rossi,16,5.3,10.7
Khoikhoicetus_agulhasis,16,5.3,10.7
Khoikhoicetus_kergueleni,16,5.3,10.7
Mesoplodon_slangkopi,16,5.3,10.7
Microberardius_africanus,16,5.3,10.7
Nenga_meganasalis,16,5.3,10.7
Pterocetus_benguelae,16,5.3,10.7
Xhosacetus_hendeysi,16,5.3,10.7
Caviziphius_altirostris,15.97,5.33,10.64
Vampalus_sayasanicus,15.97,5.33,10.64
Ziphirostrum_recurvus,15.97,5.33,10.64
Hoplocetus borgerhoutensis,11.62,1.806,9.814
Scaldicetus caretti,11.62,1.806,9.814
Babiacetus indicus,47.8,38,9.8
Basilotritus uheni,47.8,38,9.8
Georgiacetus vogtlensis,47.8,38,9.8
Aporotus_dicyrtus,11.6,2.588,9.012
Ziphirostrum_turninense,11.6,2.588,9.012
Pomatodelphis inaequalis,13.82,4.9,8.92
Rudicetus squalodontoides,15.97,7.246,8.724
Scaldicetus degiorgii,15.97,7.246,8.724
Cynthiacetus maxwelli,41.3,33.9,7.4
Microzeuglodon_caucasicum,41.2,33.9,7.3
Ziphiidae_indet_KNM_LP52956,23.3,16.1,7.2
Dalpiazina ombonii,23.03,15.97,7.06
Delphinoidea_indet_NMV_dash_72,23.03,15.97,7.06
Placoziphius duboisii,23.03,15.97,7.06
Preaulophyseter_gualichensis,23.03,15.97,7.06
Prosqualodon australis,23.03,15.97,7.06
Squalodon bariensis,23.03,15.97,7.06
Wimahl_chinookensis,23.03,15.97,7.06
Kentriodon pernix,20.44,13.82,6.62
Zarhinocetus donnamatsonae,20.44,13.82,6.62
Kentriodon schneideri,20.43,13.82,6.61
Crenatocetus_rayi,47.8,41.2,6.6
Pelocetus mirabilis,13.82,7.246,6.574
Ambulocetus natans,47.8,41.3,6.5
Artiocetus clavis,47.8,41.3,6.5
Attockicetus praecursor,47.8,41.3,6.5
Babiacetus mishrai,47.8,41.3,6.5
Dalanistes ahmedi,47.8,41.3,6.5
Dhedacetus hyaeni,47.8,41.3,6.5
Gandakasia potens,47.8,41.3,6.5
Gaviacetus razai,47.8,41.3,6.5
Ichthyolestes pinfoldi,47.8,41.3,6.5
Indocetus ramani,47.8,41.3,6.5
Kharodacetus sahnii,47.8,41.3,6.5
Kutchicetus minimus,47.8,41.3,6.5
Maiacetus inuus,47.8,41.3,6.5
Makaracetus bidens,47.8,41.3,6.5
Nalacetus ratimitus,47.8,41.3,6.5
Pakicetus attocki,47.8,41.3,6.5
Pakicetus calcis,47.8,41.3,6.5
Pakicetus chittas,47.8,41.3,6.5
Pakicetus inachus,47.8,41.3,6.5
Protocetus atavus,47.8,41.3,6.5
Qaisracetus arifi,47.8,41.3,6.5
Rayanistes afer,47.8,41.3,6.5
Remingtonocetus domandaensis,47.8,41.3,6.5
Remingtonocetus harudiensis,47.8,41.3,6.5
Rodhocetus balochistanensis,47.8,41.3,6.5
Takracetus simus,47.8,41.3,6.5
Togocetus traversei,47.8,41.3,6.5
Scaldicetus grandis,11.63,5.33,6.30
Lonchodelphis_occiduus,11.6,5.3,6.3
Balaenopteridae_indet_MHNL_1610,11.608,5.332,6.276
Scaphokogiinae_indet_MUSM_3291_et_3405,11.608,5.332,6.276
Schizodelphis_compressus,11.608,5.332,6.276
Physeteridae_indet_IRSNB_M_dot_1937,11.608,5.333,6.275
Africanacetus_ceratopsis,11.60800,5.6,6.008
Ashleycetus planicapitis,33.9,28.1,5.8
Cetacea_indet_ZMT_62,33.8,28,5.8
Coronodon havensteini,33.9,28.1,5.8
Inermorostrum xenops,33.9,28.1,5.8
Mirocetus riabinini,33.9,28.1,5.8
Odontoceti_indet_ChM_PV4178,33.9,28.1,5.8
Saurocetus gibbesii,33.9,28.1,5.8
Xenorophus sloanii,33.9,28.1,5.8
Mysticeti_indet_ChM_PV5720,28.4,23.03,5.37
Odontoceti_indet_ChM_PV2764,28.4,23.03,5.37
Odontoceti_indet_ChM_PV4802,28.4,23.03,5.37
Patriocetidae_indet_ChM_PV2761,28.4,23.03,5.37
Tlaxcallicetus guaycurae,28.4,23.03,5.37
Tlaxcallicetus_sp_MU_EcSj5_slash_18_slash_95,28.4,23.03,5.37
Argyrocetus bakersfieldensis,28.1,23.03,5.07
Argyrocetus joaquinensis,28.1,23.03000,5.07
Arktocara yakataga,28.1,23.03,5.07
Atropatenocetus posteocenicus,28.1,23.03,5.07
Chonecetus tomitai,28.1,23.03,5.07
Cotylocara macei,28.1,23.03,5.07
Eosqualodon langewieschei,28.1,23.03,5.07
Ferecetotherium kelloggi,28.1,23.03,5.07
Iniopsis caucasica,28.1,23.03,5.07
Macrodelphinus kelloggi,28.1,23.03,5.07
Metasqualodon_symmetricus,28.1,23.03,5.07
Microcetus ambiguus,28.1,23.03,5.07
Microcetus sharkovi,28.1,23.03,5.07
Miodelphis californicus,28.1,23.03,5.07
Oligodelphis azerbajdzanicus,28.1,23.03,5.07
Patriocetus denggi,28.1,23.03,5.07
Patriocetus ehrlichii,28.1,23.03,5.07
Patriocetus kazakhstanicus,28.1,23.03,5.07
Prosqualodon_hamiltoni,28.1,23.03,5.07
Sitsqwayk cornishorum,28.1,23.03,5.07
Squalodon barbarus,28.1,23.03,5.07
Squalodon grateloupii,28.1,23.03,5.07
Squalodon hypsispondylus,28.1,23.03,5.07
Squalodon linzianus,28.1,23.03,5.07
Sulakocetus dagestanicus,28.1,23.03,5.07
Aetiocetidae_indet_UWBM_82941,27.82,23.03,4.79
Aetiocetidae_indet_UWBM_87135,27.82,23.03,4.79
Agorophiidae_indet_ChM_PV5852,27.82,23.03,4.79
Agorophius pygmaeus,27.82,23.03,4.79
Albertocetus_sp_ChM_PV4834,27.82,23.03,4.79
Salishicetus_meadi,27.82,23.03,4.79
Squalodon_sp_OU_21798,27.82,23.03,4.79
Squalodontidae_indet_ChM_PV4961,27.82,23.03,4.79
Squalodontidae_indet_ChM_PV4991,27.82,23.03,4.79
Xenorophidae_indet_ChM_PV2758,27.82,23.03,4.79
Xenorophidae_indet_ChM_PV4746,27.82,23.03,4.79
Xenorophidae_indet_ChM_PV5711,27.82,23.03,4.79
aff_Huaridelphis_raimondii_MUSM_603,20.44,15.97,4.47
Cetotherium furlongi,20.44,15.97,4.47
Chilcacetus cavirhinus,20.44,15.97,4.47
Cophocetus oregonensis,20.44,15.97,4.47
Delphinodon dividum,20.44,15.97,4.47
Dilophodelphis fordycei,20.44,15.97,4.47
Eoplatanista taurinensis,20.44,15.97,4.47
Hibacetus hirosei,20.44,15.97,4.47
Hoplocetus crassidens,20.44,15.97,4.47
Huaridelphis raimondii,20.44,15.97,4.47
Idiorophus patagonicus,20.44,15.97,4.47
Inticetus vertizi,20.44,15.97,4.47
Medocinia tetragorhina,20.44,15.97,4.47
Mesocetus aquitanicus,20.44,15.97,4.47
Mesocetus siphunculus,20.44,15.97,4.47
Miokogia elongatus,20.44,15.97,4.47
Neosqualodon assenzae,20.44,15.97,4.47
Neosqualodon gastaldii,20.44,15.97,4.47
Ninjadelphis ujiharai,20.44,15.97,4.47
Parietobalaena affinis,20.44,15.97,4.47
Phoberodon arctirostris,20.44,15.97,4.47
Phocageneus venustus,20.44,15.97,4.47
Phococetus vasconum,20.44,15.97,4.47
Physeterula dubusi,20.44,15.97,4.47
Plesiocetus dyticus,20.44,15.97,4.47
Pomatodelphis stenorhynchus,20.44,15.97,4.47
Scaldicetus perpinguis,20.44,15.97,4.47
Schizodelphis barnesi,20.44,15.97,4.47
Schizodelphis planus,20.44,15.97,4.47
Schizodelphis squalodontoides,20.44,15.97,4.47
Schizodelphis sulcatus,20.44,15.97,4.47
Squalodon bordae,20.44,15.97,4.47
Squalodon dalpiazi,20.44,15.97,4.47
Squalodon melitensis,20.44000,15.97,4.47
Squalodon meyeri,20.44,15.97,4.47
Squalodon molassicus,20.44,15.97,4.47
Squalodon servatus,20.44,15.97,4.47
Squalodon vocontiorum,20.44,15.97,4.47
Squalodon whitmorei,20.44,15.97,4.47
Xiphiacetus bossi,20.44,15.97,4.47
Squalodon_sp_MAUL_8,20.43,15.97,4.46
Rhinostodes_lovisatoi,11.63,7.246,4.384
Aglaocetus burtinii,11.62,7.246,4.374
Aglaocetus rotundus,11.62,7.246,4.374
Amphicetus later,11.62,7.246,4.374
Archaeschrichtius ruggieroi,11.62,7.246,4.374
Atocetus nasalis,11.62,7.246,4.374
Aulophyseter mediatlanticus,11.62,7.246,4.374
Cetorhynchus atavus,11.62,7.246,4.374
Dagonodum mojnum,11.62,7.246,4.374
Eodelphinus kabatensis,11.62,7.246,4.374
Graamocetus longicollis,11.62,7.246,4.374
Herentalia nigra,11.62,7.246,4.374
Heterocetus scriptus,11.62,7.246,4.374
Heterodelphis klinderi,11.62,7.246,4.374
Imerocetus karaganicus,11.62,7.246,4.374
Incakujira anillodefuego,11.62,7.246,4.374
Ischyrorhynchus vanbenedeni,11.62,7.246,4.374
Koristocetus pescei,11.62,7.246,4.374
Lomacetus ginsburgi,11.62,7.246,4.374
Lophocetus calvertensis,11.62,7.246,4.374
Lophocetus repenningi,11.62,7.246,4.374
Metopocetus hunteri,11.62,7.246,4.374
Mithridatocetus adygeicus,11.62,7.246,4.374
Mithridatocetus eichwaldi,11.62,7.246,4.374
Mixocetus elysius,11.62,7.246,4.374
Nannocetus eremus,11.62,7.246,4.374
Nanokogia isthmia,11.62,7.246,4.374
Notoziphius bruneti,11.62,7.246,4.374
Parapontoporia wilsoni,11.62,7.246,4.374
Piscolithax aenigmaticus,11.62,7.246,4.374
Plesiocetus giganteus,11.62,7.246,4.374
Plesiocetus intermedius,11.62,7.246,4.374
Plesiocetus minor,11.62,7.246,4.374
Plesiocetus rostratus,11.62,7.246,4.374
Plesiocetus tertius,11.62,7.246,4.374
Protophocaena minima,11.62,7.246,4.374
Pterophocaena nishinoi,11.62,7.246,4.374
Salumiphocaena stocktoni,11.62,7.246,4.374
Saurocetes argentinus,11.62,7.246,4.374
Scaphokogia cochlearis,11.62,7.246,4.374
Stenasodelphis russellae,11.62,7.246,4.374
Tranatocetus argillarius,11.62,7.246,4.374
Zarhachis tysonii,11.62,7.246,4.374
Otradnocetus_sp_VSEGEI_2401,11.608,7.246,4.362
Otradnocetus_virodovi,15.97,11.608,4.362
Pachyacanthus suessii,15.97,11.608,4.362
Squalodon_mirabilis,15.97,11.608,4.362
Aglaocetus latifrons,15.97,11.62,4.35
Aglaocetus longifrons,15.97,11.62,4.35
Aporotus recurvirostris,15.97,11.62,4.35
Isocetus depauwi,15.97,11.62,4.35
Parietobalaena laxata,15.97,11.62,4.35
Schizodelphis morckhoviensis,15.97,11.62,4.35
Squalodon protervus,15.97,11.62,4.35
Taikicetus inouei,15.97,11.62,4.35
Zarhachis crassangulum,15.97,11.62,4.35
Zarhinocetus errabundus,15.97,11.62,4.35
Cetorhynchus_christoli,15.97,11.63,4.34
Cetotheriidae_indet_ZIRM_V28_1,15.97,11.63,4.34
Kentriodon_hobetsu,15.97,11.63,4.34
Ceterhinops_longifrons,29,24.7,4.3
Choneziphius_macrops,29,24.7,4.3
Papahu_sp_ZMT_73,23,18.7,4.3
Brachydelphis mazeasi,13.82,9.63,4.19
Basilosaurus cetoides,38,33.9,4.1
Basilosaurus isis,38,33.9,4.1
Chrysocetus healyorum,38,33.9,4.1
Cynthiacetus peruvianus,38,33.9,4.1
Dorudon atrox,38,33.9,4.1
Dorudon serratus,38,33.9,4.1
Masracetus markgrafi,38,33.9,4.1
Mystacodon selenensis,38,33.9,4.1
Platyosphys paulsonii,38,33.9,4.1
Saghacetus osiris,38,33.9,4.1
Stromerius nidensis,38,33.9,4.1
Zygorhiza kochii,38,33.9,4.1
Olympicetus_avitus,30.5,26.5,4.0
Ancalecetus simonsi,37.8,33.9,3.9
Cetotheriopsis lintianus,26.84,23.19,3.65
Beneziphius cetariensis,7.246,3.6,3.646
Imocetus piscatus,7.246,3.6,3.646
Pliopontos littoralis,7.246,3.6,3.646
Balaenotus insignis,5.333,1.806,3.527
Etruridelphis giulii,5.333,1.806,3.527
Mesoplodon longirostris,5.333,1.806,3.527
Pomatodelphis bobengi,13.82,10.3,3.52
Otekaikea marplesi,25.2,21.7,3.5
Basilotritus_sp_GMTSNUK_15,41.2,37.8,3.4
Platyosphys_einori,41.2,37.8,3.4
Delphinavus newhalli,13.6,10.3,3.3
Aegyptocetus tarfa,41.3,38,3.3
Andrewsiphius sloani,47.8,44.5,3.3
Basilosaurus drazindai,41.3,38,3.3
Basiloterus hussaini,41.3,38,3.3
Basilotritus wardii,41.3,38,3.3
Carolinacetus gingerichi,41.3,38,3.3
Chrysocetus fouadassii,41.3,38,3.3
Eocetus schweinfurthi,41.3,38,3.3
Natchitochia jonesi,41.3,38,3.3
Ocucajea picklingi,41.3,38,3.3
Pappocetus lugardi,41.3,38,3.3
Platyosphys aithai,41.3,38,3.3
Supayacetus muizoni,41.3,38,3.3
Cephalotropis coronatus,11.7,8.5,3.2
Basilosauridae_indet_MUSM_1443,40.4,37.2,3.2
Mysticeti_indet_USNM_314627,33.7,30.6,3.1
Simocetus rayi,33.7,30.6,3.1
Phocaenopsis mantelli,19,15.9,3.1
Aetiocetus polydentatus,26.1,23.03,3.07
Aetiocetus cotylalveus,31,28,3
Echovenator sandersi,27,24,3
Xenorophus_sp_ChM_PV4823,30,27,3
Albertocetus meffordorum,29,26.2,2.8
Morawanocetus yabukii,26.1,23.3,2.8
Platalearostrum_hoekmani,3.6,0.8,2.8
Kogia_sp_MSNTUP_I13798,5.333,2.58,2.753
Kogiinae_indet_ChM_VP4994,5.333,2.58,2.753
Plesiocetopsis_notopelagicus,5.33,2.58,2.75
Priscophyseter_typus,5.33,2.58,2.75
Astadelphis gastaldii,5.333,2.588,2.745
Cetotherium capellinii,5.333,2.588,2.745
Hemisyntrachelus cortesii,5.333,2.588,2.745
Scaldicetus minor,5.333,2.588,2.745
Semirostrum ceruttii,5.333,2.588,2.745
Septidelphis morii,5.333,2.588,2.745
Tursiops capellinii,5.333,2.588,2.745
Physeter_antiquus,5.33,2.588,2.742
Mesocetus hungaricus,13.82,11.1,2.72
Balaena_sp_SDSNH_43880,5.3,2.58,2.72
Eschrichtiidae_indet_SDSNH_90517,5.3,2.58,2.72
Plesiocetus_occidentalis,16.3,13.6,2.7
Archaeodelphis patrius,27.2,24.5,2.7
Papahu taitapu,21.7,19,2.7
Waipatia maerewhenua,27.2,24.5,2.7
Squalodelphinidae_indet_USNM_475596,23.03,20.43,2.60
Squalodelphinidae_indet_UWBM_87105,23.03,20.43,2.60
Squalodon tiedemani,23.03,20.43,2.60
Scaldiporia vandokkumi,7.6,5,2.6
Squalodon bellunensis,23.04,20.44,2.60
Diaphorocetus poucheti,23.03,20.44,2.59
Eoplatanista gresalensis,23.03,20.44,2.59
Eoplatanista italica,23.03,20.44,2.59
Eoplatanista miocaenus,23.03,20.44,2.59
Eosqualodon latirostris,23.03,20.44,2.59
Goedertius_oregonensis,23.03,20.44,2.59
Incacetus broggii,23.03,20.44,2.59
Mycteriacetus bellunensis,23.03,20.44,2.59
Notocetus vanbenedeni,23.03,20.44,2.59
Platanistoidea_indet_OU_22670,23.03,20.44,2.59
Prosqualodon davidis,23.03,20.44,2.59
Protodelphinus capellinii,23.03,20.44,2.59
Scaldicetus bellunensis,23.03,20.44,2.59
Squalodelphis fabianii,23.03,20.44,2.59
Squalodon calvertensis,23.03,20.44,2.59
Squalodon catulli,23.03,20.44,2.59
Squalodon peregrinus,23.03,20.44,2.59
Squaloziphius emlongi,23.03,20.44,2.59
Zarhachis flagellator,23.03,20.44,2.59
Ziphiodelphis abeli,23.03,20.44,2.59
Ziphiodelphis sigmoideus,23.03,20.44,2.59
Notiocetus_platensis,2.588,0.0117,2.5763
Physeterula_neolassicus,2.588,0.0117,2.5763
Janjucetus hunderi,28.1,25.6,2.5
Messapicetus longirostris,10.5,8.14,2.36
Zygophyseter varolai,10.5,8.14,2.36
Thalassotherii_indet_USNM_187416,15.97,13.63,2.34
Aondelphis talen,18.3,15.97,2.33
Argyrocetus patagonicus,18.3,15.97,2.33
Prepomatodelphis korneuburgensis,15.97,13.65,2.32
Balaenula_sp_SMAC_1309,6.4,4.1,2.3
Balaenoptera_cuvieri,5.3,3.0,2.3
Kurdalagonus maicopicum,13.82,11.608,2.212
Lissodelphis fockii,13.82,11.608,2.212
Fucaia_buelli,33.2,31,2.2
Acrophyseter robustus,13.82,11.62,2.20
Atocetus iquensis,13.82,11.62,2.20
Belonodelphis peruanus,13.82,11.62,2.20
Brujadelphis ankylorostris,13.82,11.62,2.20
Delphinus delannoy,13.82,11.62,2.20
Goniodelphis hudsoni,13.82,11.62,2.20
Halicetus ignotus,13.82,11.62,2.20
Heterodelphis leiodontus,13.82,11.62,2.20
Hoplocetus ritzi,13.82,11.62,2.20
Imerodelphis thabagarii,13.82,11.62,2.20
Kampholophos serrulus,13.82,11.62,2.20
Kentriodon hoepfneri,13.82,11.62,2.20
Kogiopsis floridana,13.82,11.62,2.20
Macrokentriodon morani,13.82,11.62,2.20
Palaeophocaena andrussowi,13.82,11.62,2.20
Phocaenopsis scheynensis,13.82,11.62,2.20
Pontistes rectifrons,13.82,11.62,2.20
Praemegaptera pampauensis,13.82,11.62,2.20
